work_id,isbn,isbn13,original_title,author,original_publication_year,num_pages,description,genres,image_url,reviews_count,text_reviews_count,5_star_ratings,4_star_ratings,3_star_ratings,2_star_ratings,1_star_ratings,ratings_count,avg_rating,similar_books
688299,60541830,9780060541835.0,Congo,Michael Crichton,1980,,"Deep in the African rain forest, near the legendary ruins of the Lost City of Zinj, an expedition of eight American geologists is mysteriously and brutally killed in a matter of minutes.
Ten thousand miles away, Karen Ross, the Congo Project Supervisor, watches a gruesome video transmission of the aftermath: a camp destroyed, tents crushed and torn, equipment scattered in the mud alongside dead bodies -- all motionless except for one moving image -- a grainy, dark, man-shaped blur.
In San Francisco, primatologist Peter Elliot works with Amy, a gorilla with an extraordinary vocabulary of 620 ""signs,"" the most ever learned by a primate, and she likes to fingerpaint. But recently, her behavior has been erratic and her drawings match, with stunning accuracy, the brittle pages of a Portuguese print dating back to 1642 . . . a drawing of an ancient lost city. A new expedition -- along with Amy -- is sent into the Congo where they enter a secret world, and the only way out may be through a horrifying death . . .","fiction, mystery, thriller, crime, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,170916,1633,25081,45775,48505,14001,2926,136288,3.6,
34860,765316315,9780765316318.0,The Ice Dragon,George R.R. Martin,1980,,"The ice dragon was a creature of legend and fear, for no man had ever tamed one. When it flew overhead, it left in its wake desolate cold and frozen land. But Adara was not afraid. For Adara was a winter child, born during the worst freeze that anyone, even the Old Ones, could remember. Adara could not remember the first time she had seen the ice dragon. It seemed that it had always been in her life, glimpsed from afar as she played in the frigid snow long after the other children had fled the cold. In her fourth year she touched it, and in her fifth year she rode upon its broad, chilled back for the first time. Then, in her seventh year, on a calm summer day, fiery dragons from the North swooped down upon the peaceful farm that was Adaras home. And only a winter child -- and the ice dragon who loved her -- could save her world from utter destruction. The Ice Dragon marks the highly anticipated childrens book debut of George R.R. Martin, the award-winning author of the best-selling series A Song of Ice and Fire and is set in the same world. Illustrated with lush, exquisitely detailed pencil drawings by acclaimed artist Yvonne Gilbert, The Ice Dragon is an unforgettable tale of courage, love, and sacrifice by one of the most honored fantasists of all time.","fantasy, paranormal, children, young-adult, fiction, comics, graphic",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,20248,1561,2478,4343,3207,607,143,10778,3.8,
442715,425100650,9780425100653.0,Twilight Eyes,Dean Koontz,1984,,"THEY'RE OUT THERE
Waiting, watching, unseen by normal eyes, but all too visible to Slim Mackenzie, a young man blessed-or cursed-by Twilight Eyes...
THEY'RE OUT THERE
Lurking in the darkest shadows of an eerie, moonlit carnival. Feeding their twisted needs with human suffering. And fiendishly plotting the downfall of the human race...
THEY'RE OUT THERE
But don't scream. They'll hear you...","fiction, mystery, thriller, crime, fantasy, paranormal, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,31142,438,6548,7568,6016,1292,290,21714,3.9,
3237312,375508325,9780375508325.0,Cosmos,Carl Sagan,1980,,"Cosmos has 13 heavily illustrated chapters, corresponding to the 13 episodes of the Cosmos television series. In the book, Sagan explores 15 billion years of cosmic evolution and the development of science and civilization. Cosmos traces the origins of knowledge and the scientific method, mixing science and philosophy, and speculates to the future of science. The book also discusses the underlying premises of science by providing biographical anecdotes about many prominent scientists throughout history, placing their contributions into the broader context of the development of modern science.
The book covers a broad range of topics, comprising Sagan's reflections on anthropological, cosmological, biological, historical, and astronomical matters from antiquity to contemporary times. Sagan reiterates his position on extraterrestrial life--that the magnitude of the universe permits the existence of thousands of alien civilizations, but no credible evidence exists to demonstrate that such life has ever visited earth.","non-fiction, history, historical fiction, biography, fiction, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,191052,1939,47859,23665,9298,2181,1513,84516,4.4,
1299178,312938993,9780312938994.0,A is for Alibi,Sue Grafton,1982,,"A tough-talking former cop, private investigator Kinsey Millhone has set up a modest detective agency in a quiet corner of Santa Teresa, California. A twice-divorced loner with few personal possessions and fewer personal attachments, she's got a soft spot for underdogs and lost causes.
Eight years ago, Nikki Fife was convicted of killing her philandering husband. Now she's out on parole and needs Kinsey's help to find the real killer.
If there's one thing that makes Kinsey feel alive, it's playing on the edge. When her investigation turns up a second corpse, more suspects, and a new reason to kill, Kinsey discovers that the edge is closer--and sharper--than she imagined.","mystery, thriller, crime, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,181353,3346,36410,43654,35246,7851,2747,125908,3.8,
3127921,312956738,9780312956738.0,Knots & Crosses,Ian Rankin,1987,,"Detective John Rebus: His city is being terrorized by a baffling series of murders...and he's tied to a maniac by an invisible knot of blood. Once John Rebus served in Britain's elite SAS. Now he's an Edinburgh cop who hides from his memories, misses promotions and ignores a series of crank letters. But as the ghoulish killings mount and the tabloid headlines scream, Rebus cannot stop the feverish shrieks from within his own mind. Because he isn't just one cop trying to catch a killer, he's the man who's got all the pieces to the puzzle...
Knots and Crossesintroduces a gifted mystery novelist, a fascinating locale and the most compellingly complex detective hero at work today.","mystery, thriller, crime, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,49276,1464,7723,12771,8245,1569,478,30786,3.8,
282950,786939834,9780786939831.0,Exile,R.A. Salvatore,1990,343.0,"As I became a creature of the empty tunnels, survival became easier and more difficult all at once. I gained in the physical skills and experience necessary to live on. I could defeat almost anything that wandered into my chosen domain. It did not take me long, however, to discover one nemesis that I could neither defeat nor flee. It followed me wherever I went--indeed, the farther I ran, the more it closed in around me. My enemy was solitude, the interminable, incessant silence of hushed corridors.
--Drizzt Do'Urden","fantasy, paranormal, fiction, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,54461,701,19444,14991,6624,1064,182,42305,4.2,
565440,385497520,9780385497527.0,The Child in Time,Ian McEwan,1987,263.0,"Stephen Lewis, a successful writer of children's books, is confronted with the unthinkable: his only child, three-year-old Kate, is snatched from him in a supermarket. In one horrifying moment that replays itself over the years that follow, Stephen realizes his daughter is gone.With extraordinary tenderness and insight, Booker Prize-winning author Ian McEwan takes us into the dark territory of a marriage devastated by the loss of a child. Kate's absence sets Stephen and his wife, Julie, on diverging paths as they each struggle with a grief that only seems to intensify with the passage of time. Eloquent and passionate, the novel concludes in a triumphant scene of love and hope that gives full rein to the author's remarkable gifts. The winner of the Whitbread Prize, The Child in Timeis an astonishing novel by one of the finest writers of his generation.",fiction,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,16593,591,1570,3104,2642,823,240,8379,3.6,
2298572,1581345283,9781581345285.0,This Present Darkness,Frank E. Peretti,1986,376.0,"""For we do not wrestle against flesh and blood, but against the rulers, against the authorities, against the cosmic powers over this present darkness, against the spiritual forces of evil in the heavenly places.""
Ephesians 6:12
Ashton is just a typical small town. But when a skeptical reporter and a prayerful, hardworking pastor begin to investigate mysterious events, they suddenly find themselves caught up in a hideous New Age plot to enslave the townspeople, and eventually the entire human race. The physical world meets the spiritual realm as the battle rages between forces of good and evil.
This Present Darkness is a gripping story that brings keen insight into spiritual warfare and the necessity of prayer. Since its original publication more than 2.7 million copies have been sold. The companion volume, Piercing the Darkness, continues the story of the battle between spiritual forces.","fiction, fantasy, paranormal, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,107414,1606,39369,21436,10389,2923,1676,75793,4.2,
2671306,373285388,9780373285389.0,First Impressions,Nora Roberts,1984,301.0,"Escaping the rat race and the lure of gold-digging women, wealthy businessman Vance Banning moves to a small, rural retreat, telling the townsfolk that he's an out-of-work carpenter. All he wants is peace, quiet and to keep away from women. So the last thing he needs is a charitable neighbor; especially a beautiful, gracious and persistent neighbor of the female persuasion - but there's something about Shane Abbott he just can't ignore.
Vance is certain his cover story will stop his lovely neighbor from getting too friendly, but Shane is determined to break down his resistance. Vance has been burned once, so only a fool would fall for the same innocent act twice. And he's no fool. But he has no idea how relentless Shane Abbott can be when it comes to giving a helping hand; or a loving heart.
He needed to simplify his life and mend his broken heart. She was searching for a place to finally fit in and a man who could love her for who she was. Together they discover that all they really needed was each other, and that love is the greatest Christmas gift of all.","romance, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,9084,282,1477,1736,1808,459,92,5572,3.7,
